pid,role,iso2,name,af_ids
0,player,gh,Jordan Ayew,3428
1,player,dz,Aïssa Mandi,1567
2,player,qa,Karim Boudiaf,2537
3,player,dz,Riyad Mahrez,635
4,player,sn,Kalidou Koulibaly,318
5,player,tn,Ellyes Skhiri,21587
6,player,ht,Johny Placide,87789
7,player,ht,Duckens Nazon,45020
8,player,cd,Cédric Bakambu,3033
9,player,tn,Montassar Talbi,50030
10,player,dz,Nabil Bentaleb,409
11,player,cd,Samuel Moutoussamy,21101
12,player,sn,Édouard Mendy,2986
13,player,ci,Nicolas Pépé,3246
14,player,tn,Dylan Bronn,2945
15,player,es,Aymeric Laporte,622
16,player,tn,Hannibal Mejbri,180560
17,player,cd,Arthur Masuaku,18816
18,player,sn,Pape Gueye,20696
19,player,sn,Iliman Ndiaye,18592
20,player,cv,Willy Semedo,113580
21,player,cd,Yoane Wissa,20649
22,player,ci,Yahia Fofana,64190
23,player,ci,Seko Fofana,30807
24,player,sn,Moussa Niakhaté,25916
25,player,dz,Farès Chaïbi,276670
26,player,cd,Gaël Kakuta,47545
27,player,tn,Elias Achouri,42012
28,player,dz,Rayan Aït-Nouri,21138
29,player,cd,Lionel Mpasi,24012
30,player,ci,Evan Ndicka,1807
31,player,cv,Logan Costa,21997
32,player,cd,Gédéon Kalulu,24245
33,player,dz,Amine Gouiri,85041
34,player,tn,Yan Valery,18942
35,player,dz,Houssem Aouar,658
36,player,ht,Martin Expérience,190747
37,player,ci,Evann Guessand,137303
38,player,ci,Guéla Doué,161747
39,player,cv,Steven Moreira,22139
40,player,gh,Elisha Owusu,21010
41,player,cd,Nathanaël Mbuku,129670
42,player,dz,Jaouen Hadjam,271539
43,player,ht,Jean-Kévin Duverne,20655
44,player,tn,Ismaël Gharbi,310196
45,player,ht,Alexandre Pierre,174768
46,player,ma,Neil El Aynaoui,277003
47,player,ht,Ruben Providence,162733
48,player,dz,Anis Hadj Moussa,326067
49,player,cd,Simon Banza,20674
50,player,cd,Dylan Batubinsika,8445
51,player,sn,Ibrahim Mbaye,446249
