lat,lon,population
42.53176,1.56654,1418
42.57952,1.65362,1003
42.46372,1.49129,8022
42.49454,1.49897,3236
42.54277,1.73361,2996
42.55623,1.53319,3066
42.50729,1.53414,15853
42.53873,1.58649,1171
42.54499,1.51483,7211
42.53474,1.58014,11223
42.5676,1.59756,3292
42.57205,1.48453,1419
42.53465,1.5251,1006
42.50779,1.52109,20430
42.46245,1.50209,1041
25.16744,55.40708,108759
25.15491,55.21015,16459
25.56473,55.55517,59098
25.0695,56.33115,51000
25.22499,55.38947,38425
25.78953,55.9432,351943
23.14355,53.7881,10000
25.27623,56.36256,2000
24.81089,56.10657,8988
23.65416,53.70522,63482
25.33132,56.34199,40677
25.0513,56.35422,37545
25.20795,55.24969,39080
25.7091,55.80772,10190
25.07725,55.30927,3790000
25.59246,56.26176,30000
25.61955,56.27291,26395
25.27143,55.30207,400000
25.3342,55.41221,1800000
26.0279,56.08352,1550
24.11028,52.73056,25000
25.87658,56.01862,13000
25.3299,56.02188,5823
25.47819,55.53377,3297
24.80073,56.12726,15324
25.11641,56.34141,118933
24.19167,55.76056,846747
25.40177,55.47878,490035
25.28812,55.88157,20165
24.45118,54.39696,1807000
25.28413,55.33153,18043
25.22192,55.27459,40997
24.89952,55.62545,1280
25.86698,55.02363,4213
25.20131,55.38388,13589
24.93138,55.47531,2514
24.46235,55.33715,5403
25.40001,55.52925,27000
25.29173,55.33822,21608
25.27148,55.36165,12114
25.26309,55.38028,5068
25.27148,55.38603,12851
25.24004,55.30106,75560
25.24151,55.27805,7699
25.19881,55.25565,22153
25.10223,55.16433,15000
25.11607,55.13506,25500
25.22536,55.305,5283
25.23685,55.31419,8321
25.26038,55.29891,18698
24.42588,54.605,85374
24.36727,54.63721,6515
25.22443,55.41412,60288
25.27744,55.33675,84661
25.24612,55.29222,41244
25.261,55.33016,11142
25.27139,55.30323,53075
25.27576,55.30738,19831
25.26797,55.31272,8222
25.19272,55.42013,59111
25.16383,55.40987,120000
25.08525,55.14646,120000
25.03878,55.21725,15000
25.09538,55.16171,24000
25.12015,55.18285,3337
25.17047,55.23336,15672
25.40338,55.4334,86000
25.40977,55.47106,6539
25.41814,55.50791,18000
25.32354,55.38774,116503
25.23796,55.28678,11619
25.22177,55.35733,77000
25.2106,55.27787,36000
25.19408,55.2781,13201
25.00827,55.15682,160000
25.00255,55.10811,210000
24.30978,54.62944,80498
24.35893,54.48267,243341
24.39268,54.70779,61710
25.14479,56.24764,82310
23.75355,55.32739,2000
24.71242,55.67048,2291
24.58242,55.7467,7610
25.13518,55.8843,4768
25.13227,55.20567,6263
25.22462,55.26888,18816
25.27375,55.32265,48739
25.24805,55.44128,17498
25.24332,55.4619,11967
25.11985,55.38718,90000
25.04593,55.24102,8561
25.02924,55.25277,8000
25.02651,55.14565,26000
25.18544,55.26969,191000
25.27925,55.36995,48378
25.25159,55.39408,11185
25.26628,55.33379,6737
25.24882,55.48545,12241
25.34586,55.42165,19389
25.31532,55.63211,53079
25.03763,55.59135,53079
24.97355,55.77781,8652
25.55073,55.68619,2704
24.34794,54.55368,85000
24.43208,54.61582,15000
34.65389,61.19778,12087
35.94831,66.42132,12021
34.34264,61.74675,10418
32.84734,68.44573,13737
33.14641,68.79213,7366
30.95962,61.86037,49851
37.46572,69.61131,11100
34.73525,66.97379,65000
34.59431,61.26895,6979
32.62998,65.87806,10000
36.73605,69.53451,64256
35.69941,66.06164,9096
34.85501,69.64917,6400
33.30294,62.1474,29264
36.66757,65.7529,55641
34.10737,64.3052,15967
34.00037,68.71346,7301
35.02298,69.35112,7407
36.21544,65.93249,52121
32.07275,64.8359,13579
35.84972,66.43694,15377
36.26468,68.01551,47823
30.15,62.6,11034
37.12604,69.83045,25636
37.41853,66.04358,15018
37.03999,66.78891,8942
37.21959,68.7802,24544
34.94023,61.77589,12412
34.98735,63.12891,9000
35.54729,65.5676,7756
32.10575,66.90833,12191
35.42064,70.92261,1000
35.94458,68.71512,56369
33.99529,69.02274,13247
34.38795,67.02327,13471
34.58787,68.95091,49157
32.92775,66.63253,13388
33.72178,66.13023,30058
36.0649,69.13343,22363
34.74999,69.11899,5405
30.43624,61.8383,14160
35.92139,64.78361,75900
34.67139,70.20944,17345
36.70904,67.11087,523300
31.59382,64.37161,43934
