nation,coach,surname,nationality,birth_city,birth_country,wiki_title
Czech Republic,Miroslav Koubek,Koubek,Czech Republic,Prague,Czech Republic,Miroslav Koubek
Mexico,Javier Aguirre,Aguirre,Mexico,Mexico City,Mexico,Javier Aguirre
South Africa,Hugo Broos,Broos,Belgium,Grimbergen,Belgium,Hugo Broos
South Korea,Hong Myung-bo,Hong,South Korea,Seoul,South Korea,Hong Myung-bo
Bosnia and Herzegovina,Sergej Barbarez,Barbarez,Bosnia and Herzegovina,Mostar,Bosnia and Herzegovina,Sergej Barbarez
Canada,Jesse Marsch,Marsch,United States,Racine,United States,Jesse Marsch
Qatar,Julen Lopetegui,Lopetegui,Spain,Asteasu,Spain,Julen Lopetegui
Switzerland,Murat Yakin,Yakin,Switzerland,Basel,Switzerland,Murat Yakin
Brazil,Carlo Ancelotti,Ancelotti,Italy,Reggiolo,Italy,Carlo Ancelotti
Haiti,Sébastien Migné,Migné,France,La Roche-sur-Yon,France,Sébastien Migné
Morocco,Mohamed Ouahbi,Ouahbi,Morocco,Schaerbeek,Belgium,Mohamed Ouahbi
Scotland,Steve Clarke,Clarke,Scotland,Saltcoats,Scotland,Steve Clarke
Australia,Tony Popovic,Popovic,Australia,Sydney,Australia,Tony Popovic
Paraguay,Gustavo Alfaro,Alfaro,Argentina,Rafaela,Argentina,Gustavo Alfaro
Turkey,Vincenzo Montella,Montella,Italy,Pomigliano d'Arco,Italy,Vincenzo Montella
United States,Mauricio Pochettino,Pochettino,Argentina,Murphy,Argentina,Mauricio Pochettino
Curaçao,Dick Advocaat,Advocaat,Netherlands,The Hague,Netherlands,Dick Advocaat
Ecuador,Sebastián Beccacece,Beccacece,Argentina,Rosario,Argentina,Sebastián Beccacece
Germany,Julian Nagelsmann,Nagelsmann,Germany,Landsberg am Lech,Germany,Julian Nagelsmann
Ivory Coast,Emerse Faé,Faé,Ivory Coast,Nantes,France,Emerse Faé
Japan,Hajime Moriyasu,Moriyasu,Japan,Kakegawa,Japan,Hajime Moriyasu
Netherlands,Ronald Koeman,Koeman,Netherlands,Zaandam,Netherlands,Ronald Koeman
Sweden,Graham Potter,Potter,England,Solihull,England,Graham Potter
Tunisia,Hervé Renard,Renard,France,Aix-les-Bains,France,Hervé Renard
Belgium,Rudi Garcia,Garcia,France,Nemours,France,Rudi Garcia
Egypt,Hossam Hassan,Hassan,Egypt,Helwan,Egypt,Hossam Hassan
Iran,Amir Ghalenoei,Ghalenoei,Iran,Tehran,Iran,Amir Ghalenoei
New Zealand,Darren Bazeley,Bazeley,England,Northampton,England,Darren Bazeley
Cape Verde,Bubista,Bubista,Cape Verde,Cape Verde,Cape Verde,Bubista
Saudi Arabia,Georgios Donis,Donis,Greece,Frankfurt,Germany,Georgios Donis
Spain,Luis de la Fuente,de la Fuente,Spain,Haro,Spain,"Luis de la Fuente (footballer, born 1961)"
Uruguay,Marcelo Bielsa,Bielsa,Argentina,Rosario,Argentina,Marcelo Bielsa
France,Didier Deschamps,Deschamps,France,Bayonne,France,Didier Deschamps
Iraq,Graham Arnold,Arnold,Australia,Sydney,Australia,Graham Arnold
Norway,Ståle Solbakken,Solbakken,Norway,Kongsvinger Municipality,Norway,Ståle Solbakken
Senegal,Pape Thiaw,Thiaw,Senegal,Dakar,Senegal,Pape Thiaw
Algeria,Vladimir Petković,Petković,Bosnia and Herzegovina,Sarajevo,Bosnia and Herzegovina,Vladimir Petković
Argentina,Lionel Scaloni,Scaloni,Argentina,Pujato,Argentina,Lionel Scaloni
Austria,Ralf Rangnick,Rangnick,Germany,Backnang,Germany,Ralf Rangnick
Jordan,Jamal Sellami,Sellami,Morocco,Casablanca,Morocco,Jamal Sellami
Colombia,Néstor Lorenzo,Lorenzo,Argentina,Buenos Aires,Argentina,Néstor Lorenzo
DR Congo,Sébastien Desabre,Desabre,France,Valence,France,Sébastien Desabre
Portugal,Roberto Martínez,Martínez,Spain,Balaguer,Spain,Roberto Martínez
Uzbekistan,Fabio Cannavaro,Cannavaro,Italy,Naples,Italy,Fabio Cannavaro
Croatia,Zlatko Dalić,Dalić,Croatia,Livno,Bosnia and Herzegovina,Zlatko Dalić
England,Thomas Tuchel,Tuchel,Germany,Krumbach,Germany,Thomas Tuchel
Ghana,Carlos Queiroz,Queiroz,Portugal,Nampula,Mozambique,Carlos Queiroz
Panama,Thomas Christiansen,Christiansen,Spain,Copenhagen,Denmark,Thomas Christiansen
