nation,nation_code,pos,player,birth_date,birth_city,birth_country,caps,club
Czech Republic,,1 GK,Matěj Kovář,17 May 2000,Uherské Hradiště,Czech Republic,20,PSV Eindhoven
Czech Republic,,2 DF,David Zima,8 November 2000,Olomouc,Czech Republic,25,Slavia Prague
Czech Republic,,2 DF,Tomáš Holeš,31 March 1993,Polička,Czech Republic,41,Slavia Prague
Czech Republic,,2 DF,Robin Hranáč,29 January 2000,Plzeň,Czech Republic,14,TSG Hoffenheim
Czech Republic,,2 DF,Vladimír Coufal,22 August 1992,Prague,Czech Republic,62,TSG Hoffenheim
Czech Republic,,2 DF,Štěpán Chaloupek,8 March 2003,Meziboří,Czech Republic,5,Slavia Prague
Czech Republic,,2 DF,Ladislav Krejčí,20 April 1999,Rosice,Czech Republic,27,Wolverhampton Wanderers
Czech Republic,,3 MF,Vladimír Darida,8 August 1990,Plzeň,Czech Republic,79,Hradec Králové
Czech Republic,,4 FW,Adam Hložek,25 July 2002,Ivančice,Czech Republic,43,TSG Hoffenheim
Czech Republic,,4 FW,Patrik Schick,24 January 1996,Prague,Czech Republic,53,Bayer Leverkusen
Czech Republic,,4 FW,Jan Kuchta,8 January 1997,Liberec,Czech Republic,31,Sparta Prague
Czech Republic,,3 MF,Lukáš Červ,10 April 2001,Prague,Czech Republic,17,Viktoria Plzeň
Czech Republic,,4 FW,Mojmír Chytil,29 April 1999,Skalka,Czech Republic,22,Slavia Prague
Czech Republic,,2 DF,David Jurásek,7 August 2000,Dolní Němčí,Czech Republic,18,Slavia Prague
Czech Republic,,4 FW,Pavel Šulc,29 December 2000,Karlovy Vary,Czech Republic,21,Lyon
Czech Republic,,1 GK,Jindřich Staněk,27 April 1996,Strakonice,Czech Republic,14,Slavia Prague
Czech Republic,,3 MF,Lukáš Provod,23 October 1996,Plzeň,Czech Republic,38,Slavia Prague
Czech Republic,,3 MF,Michal Sadílek,31 May 1999,Uherské Hradiště,Czech Republic,35,Slavia Prague
Czech Republic,,4 FW,Tomáš Chorý,26 January 1995,Olomouc,Czech Republic,22,Slavia Prague
Czech Republic,,2 DF,Jaroslav Zelený,20 August 1992,Hradec Králové,Czech Republic,23,Sparta Prague
Czech Republic,,2 DF,David Douděra,31 May 1998,Brandýs nad Labem-Stará Boleslav,Czech Republic,17,Slavia Prague
Czech Republic,,3 MF,Tomáš Souček,27 February 1995,Havlíčkův Brod,Czech Republic,90,West Ham United
Czech Republic,,1 GK,Lukáš Horníček,13 July 2002,Vysoké Mýto,Czech Republic,1,Braga
Czech Republic,,3 MF,Alexandr Sojka,2 April 2003,Klatovy,Czech Republic,2,Viktoria Plzeň
Czech Republic,,3 MF,Hugo Sochůrek,7 June 2008,Tábor,Czech Republic,1,Sparta Prague
Czech Republic,,4 FW,Denis Višinský,21 March 2003,Mělník,Czech Republic,2,Viktoria Plzeň
Mexico,,1 GK,Raúl Rangel,25 February 2000,Zapotlán el Grande Municipality,Mexico,14,Guadalajara
Mexico,,2 DF,Jorge Sánchez,10 December 1997,Torreón,Mexico,59,PAOK
Mexico,,2 DF,César Montes,24 February 1997,Hermosillo,Mexico,67,Lokomotiv Moscow
Mexico,,2 DF,Edson Álvarez,24 October 1997,Tlalnepantla de Baz Municipality,Mexico,98,Fenerbahçe
Mexico,,2 DF,Johan Vásquez,22 October 1998,Navojoa,Mexico,46,Genoa
Mexico,,3 MF,Érik Lira,8 May 2000,Cuauhtémoc,Mexico,25,Cruz Azul
Mexico,,3 MF,Luis Romo,5 June 1995,Ahome Municipality,Mexico,63,Guadalajara
Mexico,,3 MF,Álvaro Fidalgo,9 April 1997,Oviedo,Spain,4,Real Betis
Mexico,,4 FW,Raúl Jiménez,5 May 1991,Tepeji del Río de Ocampo Municipality,Mexico,124,Fulham
Mexico,,4 FW,Alexis Vega,25 November 1997,Cuauhtémoc,Mexico,52,Toluca
Mexico,,4 FW,Santiago Giménez,18 April 2001,Buenos Aires,Argentina,47,Milan
